第六感, M·奈特·沙马兰 M. Night Shyamalan, 布鲁斯·威利斯 Bruce Wi...,1999,8.9,581435人评价
入殓师, 泷田洋二郎 Yôjirô Takita, 本木雅弘 Masahiro Motoki / ...,2008,8.9,695415人评价
超能陆战队, 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams, 斯科特...,2014,8.7,1060044人评价
断背山, 李安 Ang Lee, 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005,8.8,730961人评价
重庆森林, 王家卫 Kar Wai Wong, 林青霞 Brigitte Lin / 金城武 Takeshi K...,1994,8.8,848724人评价
剪刀手爱德华, 蒂姆·波顿 Tim Burton, 约翰尼·德普 Johnny Depp / 薇诺娜·...,1990,8.7,1066369人评价
勇敢的心, 梅尔·吉布森 Mel Gibson, 梅尔·吉布森 Mel Gibson / 苏菲·玛...,1995,8.9,574021人评价
幽灵公主, 宫崎骏 Hayao Miyazaki, 松田洋治 Yôji Matsuda / 石田百合...,1997,8.9,548038人评价
爱在日落黄昏时, 理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ...,2004,8.9,590816人评价
寄生虫, 奉俊昊 Joon-ho Bong, 宋康昊 Kang-ho Song / 李善均 Seon-gyun...,2019,8.8,1431861人评价
菊次郎的夏天, 北野武 Takeshi Kitano, 北野武 Takeshi Kitano / 关口雄介 Yus...,1999,8.9,621645人评价
借东西的小人阿莉埃蒂, 米林宏昌 Hiromasa Yonebayashi, 志田未来 Mirai Shida / 神木...,2010,8.9,579523人评价
消失的爱人, 大卫·芬奇 David Fincher, 本·阿弗莱克 Ben Affleck / 罗莎蒙...,2014,8.7,997577人评价
无人知晓, 是枝裕和 Hirokazu Koreeda, 柳乐优弥 Yûya Yagira / 北浦爱...,2004,9.1,338294人评价
阳光灿烂的日子, 姜文 Wen Jiang, 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994,8.8,638732人评价
时空恋旅人, 理查德·柯蒂斯 Richard Curtis, 多姆纳尔·格里森 Domhnall Gl...,2013,8.8,712613人评价
完美的世界, 克林特·伊斯特伍德 Clint Eastwood, 凯文·科斯特纳 Kevin Cos...,1993,9.1,330283人评价
倩女幽魂, 程小东 Siu-Tung Ching, 张国荣 Leslie Cheung / 王祖贤 Joey W...,1987,8.8,766170人评价
未麻的部屋, 今敏 Satoshi Kon, 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997,9.1,365741人评价
天使爱美丽, 让-皮埃尔·热内 Jean-Pierre Jeunet, 奥黛丽·塔图 Audrey Tau...,2001,8.7,976384人评价
小森林 夏秋篇, 森淳一 Junichi Mori, 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2014,9.0,440846人评价
哈利·波特与火焰杯, 迈克·内威尔 Mike Newell, 丹尼尔·雷德克里夫 Daniel Radclif...,2005,8.8,701806人评价
侧耳倾听, 近藤喜文 Yoshifumi Kondo, 本名阳子 Youko Honna / 小林桂树 K...,1995,8.9,483935人评价
驯龙高手, 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,...,2010,8.8,788678人评价
幸福终点站, 史蒂文·斯皮尔伯格 Steven Spielberg, 汤姆·汉克斯 Tom Hanks...,2004,8.8,596088人评价
一个叫欧维的男人决定去死, 汉内斯·赫尔姆 Hannes Holm, 罗夫·拉斯加德 Rolf Lassgård...,2015,8.9,511059人评价
教父3, 弗朗西斯·福特·科波拉 Francis Ford Coppola, 阿尔·帕西诺 A...,1990,9.0,393268人评价
怪兽电力公司, 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman, 约...,2001,8.8,706713人评价
新世界, 朴勋政 Hoon-jung Park, 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,2013,8.9,469491人评价
小森林 冬春篇, 森淳一 Junichi Mori, 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2015,9.0,393125人评价
茶馆, 谢添 Tian Xie, 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,1982(中国大陆),9.6,165946人评价
玩具总动员3, 李·昂克里奇 Lee Unkrich, 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,2010,8.9,543591人评价
傲慢与偏见, 乔·怀特 Joe Wright, 凯拉·奈特莉 Keira Knightley / 马修·...,2005,8.7,840286人评价
萤火之森, 大森贵弘 Takahiro Omori, 佐仓绫音 Ayane Sakura / 内山昂辉 K...,2011,8.9,563946人评价
被解救的姜戈, 昆汀·塔伦蒂诺 Quentin Tarantino, 杰米·福克斯 Jamie Foxx /...,2012,8.8,635870人评价
釜山行, 延尚昊 Sang-ho Yeon, 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,2016,8.6,1250401人评价
神偷奶爸, 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud, ...,2010,8.7,979790人评价
色，戒, 李安 Ang Lee, 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,2007,8.7,862647人评价
九品芝麻官, 王晶 Jing Wong, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,1994,8.7,718963人评价
告白, 中岛哲也 Tetsuya Nakashima, 松隆子 Takako Matsu / 冈田将生 ...,2010,8.8,694607人评价
哪吒闹海, 王树忱 Shuchen Wang / 严定宪 Dingxian Yan, 梁正晖 Zhenghui ...,1979,9.2,272133人评价
玛丽和马克思, 亚当·艾略特 Adam Elliot, 托妮·科莱特 Toni Collette / 菲利...,2009,9.0,432419人评价
喜宴, 李安 Ang Lee, 赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...,1993,9.0,384998人评价
大鱼, 蒂姆·波顿 Tim Burton, 伊万·麦克格雷格 Ewan McGregor / 阿...,2003,8.8,588787人评价
模仿游戏, 莫滕·泰杜姆 Morten Tyldum, 本尼迪克特·康伯巴奇 Benedict C...,2014,8.8,673906人评价
头号玩家, 史蒂文·斯皮尔伯格 Steven Spielberg, 泰伊·谢里丹 Tye Sheri...,2018,8.6,1417155人评价
花样年华, 王家卫 Kar Wai Wong, 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,2000,8.8,643509人评价
头脑特工队, 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen, 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,1993,8.7,665896人评价
我是山姆, 杰茜·尼尔森 Jessie Nelson, Sean Penn / Dakota Fanning / Mi...,2001,9.0,351390人评价
